Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
119,Jeffrey Bruma\fbffc4b1,nl NED,DF,Kasımpaşa,29,1991,15,15,1326,14.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
120,Buluthan Bulut\99b83608,tr TUR,MF,Alanyaspor,19,2002,2,0,28,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
121,Onur Bulut\32e96d52,tr TUR,DF,Kayserispor,27,1994,34,31,2739,30.4,1,8,1,0,0,6,1,0.03,0.26,0.30,0.03,0.30,Matches
122,Mustafa Burak Bozan\c7deccc0,tr TUR,GK,Gaziantep FK,20,2000,4,3,279,3.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
123,Dženan Bureković\249aaaa2,ba BIH,MF,Göztepe,26,1995,9,3,245,2.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
124,Adem Büyük\720611fe,tr TUR,FWMF,Yeni Mal'spor,33,1987,21,18,1649,18.3,5,2,3,2,2,6,0,0.27,0.11,0.38,0.16,0.27,Matches
125,Walter Bwalya\4bb3dee2,cd COD,FW,Yeni Mal'spor,26,1995,8,0,126,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
126,Zymer Bytyqi\bb221f32,xk KVX,MFFW,Konyaspor,24,1996,37,35,2907,32.3,8,7,8,0,0,3,0,0.25,0.22,0.46,0.25,0.46,Matches
127,Torgeir Børven\1ff40741,no NOR,FW,Gaziantep FK,29,1991,14,0,177,2.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
128,Musa Çağıran\f720f91e,tr TUR,DF,Konyaspor,28,1992,12,4,497,5.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
129,Rahman Çağıran\57287c03,tr TUR,MF,Yeni Mal'spor,26,1995,13,11,755,8.4,2,0,2,0,0,2,0,0.24,0.00,0.24,0.24,0.24,Matches
130,Oğulcan Çağlayan\c0e8793e,tr TUR,DFMF,Galatasaray,25,1996,8,3,334,3.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
131,Júnior Caiçara\038aa94a,br BRA,DF,Başakşehir,32,1989,27,23,2147,23.9,2,0,2,0,0,6,0,0.08,0.00,0.08,0.08,0.08,Matches
132,Uğurcan Çakır\f63a8347,tr TUR,GK,Trabzonspor,25,1996,36,36,3227,35.9,0,0,0,0,0,6,1,0.00,0.00,0.00,0.00,0.00,Matches
133,Samba Camara\7c85e03f,ml MLI,DF,Sivasspor,28,1992,19,14,1234,13.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
134,Tarık Çamdal\d23ff209,tr TUR,DF,Adana Demirspor,30,1991,12,2,228,2.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
135,Burak Çamoğlu\4a28e56a,tr TUR,DF,Hatayspor,24,1996,3,1,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
136,Gustavo Campanharo\96f2d977,br BRA,MF,Kayserispor,29,1992,22,14,1313,14.6,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,Matches
137,Gastón Campi\74223a01,ar ARG,DF,Yeni Mal'spor,30,1991,14,14,1152,12.8,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches
138,Erol Can Akdağ\9e189d84,tr TUR,MF,Giresunspor,24,1996,5,0,45,0.5,0,1,0,0,0,1,0,0.00,2.00,2.00,0.00,2.00,Matches
139,İrfan Can Eğribayat\b3c67ed0,tr TUR,GK,Göztepe,23,1998,30,30,2700,30.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
140,Efe Can Saçıkara\b99aa98d,tr TUR,MF,Göztepe,17,2004,4,1,126,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
141,Daniel Candeias\0366fc78,pt POR,MFFW,Alanyaspor,33,1988,35,18,1540,17.1,4,4,4,0,0,1,0,0.23,0.23,0.47,0.23,0.47,Matches
